method,fold,n_test,accuracy,macro_f1,top3_accuracy,avg_inference_time_sec
Zero-Shot CLAP,1,400,0.9,0.8930059283681574,0.9775,7.3607499871286565e-06
Proto-LC,1,400,0.9375,0.9346998847385843,0.985,2.6901749988610392e-05
Supervised MLP,1,400,0.965,0.9627893867398513,0.9975,0.012560694750009134
Zero-Shot CLAP,2,400,0.875,0.8678692408382812,0.97,1.4487500084214844e-06
Proto-LC,2,400,0.95,0.9459521888500216,0.9875,2.0004250000056345e-05
Supervised MLP,2,400,0.975,0.975592117548774,0.9975,0.012915291499994055
Zero-Shot CLAP,3,400,0.9225,0.9202071384441826,0.9775,2.25424999371171e-06
Proto-LC,3,400,0.9375,0.9343881801033505,0.9825,1.524749999589403e-05
Supervised MLP,3,400,0.9725,0.9718403361344538,0.995,0.012475030000005063
Zero-Shot CLAP,4,400,0.8825,0.8733470440807902,0.975,2.2105000061856117e-06
Proto-LC,4,400,0.9375,0.9375742296918768,0.9875,1.8708500010689023e-05
Supervised MLP,4,400,0.97,0.9695210084033613,0.9925,0.01577207174999785
Zero-Shot CLAP,5,400,0.8775,0.8691190766577763,0.9475,1.759750011842698e-06
Proto-LC,5,400,0.925,0.9243806843311486,0.9725,1.9551750010577962e-05
Supervised MLP,5,400,0.955,0.9538444659915248,0.9925,0.014180530749999889
